,,,,User-Tool Mismatch,Validation ,Disrupted Flow,Simple Operations,User-Directed,Cost of Use,Duplicates,Control Sum,User-Tool Mismatch,Validation ,Disrupted Flow,Simple Operations,User-Directed,Cost of Use,Ordering
"<1,1,1,0,1>",ID4,"parameter forceaccess is used in methodbody. Oh it's saying it's used somewhere - wait - what's that trying to say? Oh it's saying it's used - but that's fine; I'm going to do this and it's going to complain and I'm ok with that. Because I realise that there's no way to do this without something complaining. I feel like it's not going to be able to automatically remove it; besides there are some logic changes too.
Continue.
Alright!
As I mentioned there's some red stuff here. That's fine. If forceaccess set accessible true else continue. It looks like we don't actually need this which means the else is always going to be true. so the question is what does the continue do? The continue will just go back to the beginning of the forloop. I was just looking to see if I actually needed to even have this if-statement up here but it sounds fine. I think that this should be ok because what's happening is if this boolean is false we want to just continue anyway otherwise we want to just return the field. Sure that should work. Ok so now I'm surprised - I'm kinda shocked that there's not more red in here because did I automatically remove it already?
I: What do you think the tool did?
Oh it probably already renamed everything that was using this. Ugh.
I've just realized that I think one of the reasons I'm hesitant to use tools is because I don't know the full impact. If I were to look at a source control diff right now I would assume that we have some usages. There's going to be some very redundant test cases right now because they've probably been automatically renamed to use the default parameter right now. So if I were to look for getField in here ...
what'll happen is that those test cases are probably going to break.
If I hadn't used a refactoring tool and I would have just seen the red lines and known that this is exactly what I need to remove. What I'll do now is that I guess there's like a git diff thing I can use in here.","Invocation
EffectiveInvocation
Not Predictable 
 (“surprised” ..”did I automatically remove it already?”)Invocation
Not SatisfactionInvocation
Not Predictable
 (“I don't know the full impact”)Invocation
Not Efficient
 (“If I hadn't used a refactoring tool and I would have just seen the red lines and known that this is exactly what I need to remove.”)",,1,,,,,0,,,ID4,,,,,8
"<1,1,0,0,0>",ID8,"I: What do you mean?
With the quick fix I like seeing the error, it is easy to fix it and I know what it's doing.
If I cut and paste this and I get some errors, I know what quick fix it is applying, I know it is grabbing the import or whatever, I mean, sometimes moving or extracting - you can't always see what happens, it's just here and you can't see what changed. I guess I can use git, but sometimes it is better to just plow through and see that this thing is broken. Sometimes - certainly for us, we have a lot of packages, and we use maven, and if you move something from one package to another you have to go change the pom and change the thing, and now there's the wrong junit there, or whatever, so it will break anyway I guess. [20:41]","Reflection
Not Predictable 
 (“sometimes moving or extracting - you can't always see what happens, it's just here and you can't see what changed.”)
 Not Effective 
 (“if you move something from one package to another you have to go change the pom and change the thing, and now there's the wrong junit there, or whatever, so it will break anyway”)",,1,,,,,0,,,ID8,,,,,23
"<1,1,0,1,1>",ID9,"I: You mentioned trust as an aspect of these tools. What are some example of cases in which you don't trust the tools?
In my work I typically work in typescript and I know that the find references tool does not find all references so I know that any automated refactoring will miss some call sites. Sometimes it's still worth it to use the refactoring tool and find the remaining call sites myself but I know that I need to do my own search after to either verify or complete the remained of the transformation.
It is really a tool specific thing that if you know the tool well enough you recognize the bugs and you know you will hit them again. And maybe you stop using the tool. I don't have any big dogmatic that I don't trust the tool to do X it is just that over the years of using refactoring tools I've known there to be buggy tools I've seen them.
I: And you kept using them?
I kept using them. Because they are much faster than doing it by hand.
I: Which refactorings do you usually use them for?
The most common one is adjust method signature. Like reordering method parameters. Like that is trivial. I trust the tool to do it and it is a lot of work to do by hand. Or introduce a new parameter. If I can introduce a default parameter to all callsites. Maybe I have to go through and see what the real value is at each call site but the tool has identified the callsites for me and has injected a marker for you need to do some work here.","Reflection
Predictable (“if you know the tool well enough you recognize the bugs and you know you will hit them again”)Reflection
EfficientReflection
Trust 
 Effective 
 Efficient",,1,,,,,0,,,ID9,,,,,32
"<1,1,1,1,0>",ID19,"Did the tests run before compile? 
 I: Yes.
It says the the variable can not be resolved. did I mess something up? 
 I did - I put the wrong class name which is why doing it manually is bad..
This is one of the benefits, if you have a refactoring tool you trust, is that it can make sure these are correct. But making sure it exposes the changes it is going to make, and why, is a pretty big deal. That's one thing I always have. 
 The idea of visibility and knowing that is going on, is very important for me, rather than seeing it after the fact.
I could always go and use the tool and use git to see what actually changed along the way..
I: Why don't you like that approach?
Sometimes inspecting changes after the fact can be hard. There is going to be code that is unrelated to your refactoring, since normally refactoring tasks is done as part of other tasks. When you're looking at it after the fact you may also not be able to undo it if something doesn't look right, so it's better to have the information up-front. [23:46]
As you see here, because the refactoring tool added static to my method, the first test that I actually moved it won't run.
Where is that one? 
 testIsAllBlank
so, as a part of this, you can see that using the refactoring tool actually does break the code functionally. If it wasn't on a test it could have had a different impact, but because it is a test it is a little different.
I: It prompted you about making it static though.
But when I said no, it didn't allow it. When I said no, it stopped the refactoring, so you either have to say yes, or not use it. If you say no it does not allow the refactoring, so therefore we had to go with it. But that's also why I reverted it, because I didn't like what it was doing.
I: Did you expect it to break the test?
I would not expect a refactoring to break a test especially for a move. That's bad.","Reflection
Trust 
 Predictable (“making sure it exposes the changes it is going to make, and why, is a pretty big deal”)
Reflection
Predictable (“When you're looking at it after the fact you may also not be able to undo it if something doesn't look right, so it's better to have the information up-front.“)
Reflection
Effective (“ If you say no it does not allow the refactoring, so therefore we had to go with it”)
 Not Satisfaction (“I didn’t like what it was doing”)
Reflection
Not Predictable (""I would not expect a refactoring to break a test especially for a move."")
 Not Satisfaction(""That's bad."")",,1,,,,,0,,,ID19,,,,,52
"<1,1,0,1,0>",ID4,"I'll be honest I've never used this. I guess I've used something similar in Eclipse. Remember I said I've self-confessed ludite tendencies like because I don't know the tool I might actually just - oh there's a preview. What happens if I just remove this?
I: You can remove it through the minus sign here.
So what happens if I remove this? The problem is that it's already defined - ah of course we already have oh by the way I'll admit straight up I'm biased to look at this tool because I'm self-aware of being in a study of refactoring tools.
I: So you wouldn't normally have looked at it?
I might have if a co-worker had shown it to me. I think the thing with IDEs the reason I do some of this stuff in Eclipse is because I was shown some of these things when I was an intern. The fact that I've never had anyone sit me down and and say - I guess I've never devoted time at work that I should sit down and learn my IDE. It's mostly just let's get this done. I guess I've just used an approach that works.
Anyway. I feel like what's going to happen is what I'd do is just delete this method now then I know that some times with certain IDEs I am not sure if I remove a method it might complain somewhere else and it might not let me refactor if there already is compile issues.
I: So what was you original plan you want to remove..
What I'll do is I'll just remove this instead of running refactor I'll just remove it and just look myself. I guess I just trust what I can see.","Invocation
Predictable
 (“what happens if I remove this? The problem is that it's already defined“)Invocation
Not Effective 
 (“it might not let me refactor”)Invocation
Not Trust",,,,,,,0,,,,,,,,7
"<0,1,1,0,1>",ID4,"testgetFieldforceAccess I'll just remove it
I: So in this case you used git instead of the compile errors?
Yeah so I guess my previous goto for this kind of thing would be to know that this is what I need to remove because the compiler is complaining but because this kind of tool automatically did a lot more for me it kind of disrupted my flow. This was because it was the first time I was doing this. But this time you know what .. I'm going to be frank and say the next thing I'll do is to go back to my old approach. Because this I guess because of the nature of the task - I guess it's all about control and I feel I am out of control when things happen automagically.","Invocation
Effective
 (“this kind of tool automatically did a lot more for me”)
 Not Efficient 
 (“disrupted my flow”)
 Not Satisfaction
 (“I feel I am out of control”)",,,1,,,,0,,,,ID4,,,,9
"<1,1,0,0,0>",ID5,"Yes, it removed the parameter.
I: Was that intentional?
Yes, it is what I expected, that if I remove a parameter it would also be removed from the calls of the methods.","Reflection
Effective 
 Predictable",,,,,,,0,,,,,,,,11
"<0,1,1,0,0>",ID7,"I do know that IDEs often provide class extraction tooling and I've never really used them that much. Especially since I'm not that familiar with IntelliJ, I chose to forego the automated tools that may be present, but I guess there may be tools that could, like, I could probably select one of these methods, and there might be like, yeah there's a move, so that probably would do what I wanted,
but when the task is this simple, and I'm unfamiliar with the specifics of what this does, I don't want to do it, because it might do something that is kind of not what I want, and I might backtrack and copy it anyway. I know there is -- so I used Eclipse for like 8 years - and i used the more basic refactoring tools in eclipse a lot, so renaming, extracting variables and methods, changing method signatures, it has a bunch of nice little tools for that.
But there were some sort of extract class method functionality, and whenever I did it it would do something very strange, and it was never what I wanted, so I stopped using it.
I: Do you remember what it did?
Not really. It would create a class, and the class that I extracted it from.. they would be kind of cyclicly referencential in way that I didn't want, and I didn't really spend too much time figuring out why is it doing this, because it wasn't what I wanted ever, so I just kind of said I am not going to use this tool.
I: Did you ever try configuring it to not do that?
it was never worth it. The kind of operation - extract superclass maybe, I can't remember - something that create another class, and it never did it in the way I wanted.","Reflection
Not Effective (“would do something very strange”)Reflection
Not Satisfaction (“never did it the way I wanted”)",,,,1,,,0,,,,,ID7,,,12
"<1,1,0,0,1>",ID7,"The IDE refactoring tools I used a lot in Eclipse were all scoped to the class I was working on. If I created new classes I tended to do it manually.
I: Why?
When I started out, I didn't use any ref tools cause I didn't know they existed. For the tools scoped to a single class, like rearranging method signatures, extracting constants, fields, variables, those kinds of operations, I felt like I got an immediate boost in productivity by using them and they were very predictable. It was obvious just from looking at what it said it was going to do, I click on it and it does it, it did what I would have done manually, and it did it faster. For any refactoring that was more complex than those, maybe I did it once or twice, it didn't do what I envisioned that it would do, so I had a miss of expectations there, and it didn't increase my productivity, it got in my way, by doing something I didn't want.","Reflection
Efficient (“immediate boost in productivity”)
 Predictable (“they were very predictable”)
 Effective (“it did what I would have done manually”)",,,,,,,0,,,,,,,,13
"<0,1,0,0,0>",ID7,"Yes, there can be some problems where.. I guess not really strange but it wouldn't always do what you wanted, for example when extracting a local variable. For example, if you have a repeated string constant or something, or you call three different methods with the same input, and you extract that, I can't actually remember if it would Extract all or only the ones you selected, but sometimes you want one of those and sometimes you want the other. If the thing you're extracting actually has side effects, and you extract three invocations, that actually changes behavior so it is no longer a refactoring, so sometimes you want one and sometimes the other, and it would only do one of them. So sometimes I wanted to Extract 5 instances and it'd do only one, and then i'd need to go and replace the others, or if it extract more than I wanted I'd need to go and put back the ones I didn't want in the place they were extracted from. Otherwise I felt it was all pretty reasonable.
I: You still kept using the tool even though you encountered that undesirable behavior?
I guess I encountered it rarely enough and it was still faster to use the tool and correct it - or I don't even know if it faster, but it felt better - it's all just a matter of perception - it felt better to use the tool, to just hit, whatever it was cmd + shift + l, type a name, hit enter and maybe.. it was something like 90% of the time it did what I wanted, and 10% of the time I needed to go copy paste something or delete something, and it worked really well.","Reflection
Effective (“worked really well”)",,,,,,,0,,,,,,,,15
"<0,1,0,0,0>",ID7,"I: You still kept using the tool even though you encountered that undesirable behavior?
I guess I encountered it rarely enough and it was still faster to use the tool and correct it - or I don't even know if it faster, but it felt better - it's all just a matter of perception - it felt better to use the tool, to just hit, whatever it was cmd + shift + l, type a name, hit enter and maybe.. it was something like 90% of the time it did what I wanted, and 10% of the time I needed to go copy paste something or delete something, and it worked really well.
Conversely there's the Inlining tool in Eclipse, and when you do that, it will ask you, do you want to inline .. so you can select either the field you want to inline, or the instance (call) you want to inline and it will ask you, do you want to inline all occurrences or just this one occurrence, do you want to delete the field, stuff like that, and that workflow worked really well, and I guess for extract variable workflow worked less well.","Reflection
Effective (“workflow worked really well”) and Not Effective (“workflow worked less well”)",,,,1,,,0,,,,,ID7,,,16
"<0,1,0,0,1>",ID7,"Ultimately the code changes I made were deleting tests for the methods that were to be deleted, then copying the contents of the methods that were to be deleted into where they were being invoked, and changing all the return statements in that code, because all the consumers of those methods were negating the returned valye from the methods to be deleted.
I: Do you know of any tools that could have automated it?
[48:45] I do not. The one tool I thought may be able to automated this refused to, because it can't inline method invocations with multiple return statements or perhaps return statements that are organized in a certain way that interrupts execution flow. I would expect, that to inline something like this, you would probably need to define a variable, and then change all of the return statements to assignments and then return that variable. So an alternative way to accomplish this would have been to change those return statements to the variable that was assigned, and then I could have inlined it. It seemed like more work for no gain. So no, I'm not aware of any tools that could have done what I just did. It seems a fairly easy thing, what I just did, so I would not be surprised if there was a tool, but I'm not aware of one.","Reflection
Not Effective (“one tool I thought may be able to automate this refused to”)
 Not Efficient (“more work for no gain”)",,,,,,,0,,,,,,,,18
"<0,1,1,0,0>",ID7,"I will find the base methods -- the methods that use it directly -- I am going to remove this from the method signature, so remove it from the parameter list, and then I am going to delete half of the if-statements, where I will presumably now have an error, because I deleted the thing it is using. Once all the direct things are done then it's just changing the signature of all the other methods and they won't have any real changes, they'll just pass this in.
Here's one of the direct usages. We'll go to change signature.
Thinking, that's fine, can I tell it to just do that? Yeah. So now I have compile error, which is fine. This is always false. Since it's always false, this if-statement will never be executed, so it will always just call -- if this was passed in as false -- it would always just call memberutils.setAccessibleworkaround so I'm just going to delete this. Alright, so move on to the next one. Not going to deal one yet, want to do all the direct accesses. Alright so here is one. Do the same thing. Change signature. Continue. So this is false, so it will always just continue once it finds an inaccessible fields. The same deal, ... documentation .. it's always false.. Why is this mad at me. Aah. Ok. I have made an error.","Invocation
Effective (“can I tell it to just do that? Yeah”)
 Satisfaction (“which is just fine”)",,,,,,,0,,,,,,,,19
"<0,1,0,0,1>",ID7,"[1:02:50] It might have been better - and I'm not entirely sure actually - if I had modified all the callers before modifying the methods that were being called.
I: Why do you think that could've been betteR?
Because then ... no it's all the same, because they have duplicates as well. it might have resulted in a process that was less driven by compilation errors. Because I just did that I can't actually inline this into the other invocation. So I'm just going to undo that..
I: So now you're backtracking your change in order to use the tool?
Yeah.","Invocation
Not Effective (“I can’t actually inline)Invocation
Not Efficient (“backtracking your change in order to use the tool -yeah”)",,,,,,,0,,,,,,,,20
"<0,1,1,0,0>",ID8,"Yes, if there are other callers.
I: you would rename to use this?
Yeah, like, moving to a different package is like a rename to me. For rename you definitely want to use something that changes it everywhere. You don't have to, but it makes your life easier. [22:16]","Reflection
Effective 
 (“For rename you definitely want to use something that changes it everywhere.”)
 Satisfaction (“it makes your life easier”)",,,,,,,0,,,,,,,,24
"<0,1,1,0,0>",ID9,"So isanynotblank is a bad name for like not is all blank which presumably is also in the same file.
Ah. I see. Which calls the bad one. So the easy thing to do here is to.. haah.
So this isn't strictly inlinable because the IDE sees that there are multiple return points which are ..dumb. Because the caller is equally simple.","Invocation
Not Effective 
 (“this isn't strictly inlinable”)
 Not Satisfaction 
 (“which are .. dumb”)",,,,,,,0,,,,,,,,26
"<0,1,0,0,0>",ID9,"Yes.
I: Can you describe the steps you took in order to do it?
I couldn't use the automated inline because there were returns in the middle of the method I tried to inline. I could've tried to refactor that method in place to have a single function exit point because then it would have been inlineable and the negation would have been trivial to apply on the last return point. [28:35]","Reflection
Not Effective (“I couldn't use the automated inline”)",,,,,,,0,,,,,,,,28
"<0,1,1,0,0>",ID9,"Yes.
I: Are there some cases you choose to not do that?
Yes definitely when I know the tool is going to pick up unrelated things. It most often come up when I want to rename a variable but I don't want to rename a bunch of strings that happen to be laying around nearby. And that's just the tool being too smart or not smart enough because sometimes that is what I want and sometimes it is not. [1:18:35]","Reflection
Satisfaction
 Effective",,,,,,,0,,,,,,,,31
"<1,1,0,0,0>",ID10,"So that's me using the shift shift to find everything, and I'll see if there is a method for testIsAnyNotEmpty. So I can't just inline and remove because my tests won't compile. I don't want to like change my production code and change my test and then run my tests and see if everything is fine.
A lot of my work is in ruby, so I can get away with not having things defined when I make statements like that. And then, so I would do that, I would keep this, then I would remove the body and see that the corresponding tests fail, and then I'd feel comfortable removing - like if only the tests for isAnyNotBlank fail - then I am comfortable removing the whole method definition and the tests themselves.
So Inline Method refactoring is not supported when return statement interrupts the execution flow. So sad. [43:31]
I mean that makes sense to some degree. I know that this refactoring tool, whether it is java or like rubyminds version, gets sad and confused when there's a few different return statemtemt. This itself refers to isNotBlank, which I think is fine, we're not touching isNotBlank. So, how many usages are there of this -
I: By the way, how did you expect the inline tool to actually inline this, or did you expect it to fail like it did now?
[44:30] I hadn't expected it to fail. I had expected it to pop up the dialogue box asking keeping or removing and when it tells me the return statements make the execution flow confusing and I can't do it automatically I go like, yes, that is concern that you have.
I: Right.
Let me split these vertically so I can take a look at - this is anyNotBlank - I want to keep isAllBlank. Nope, not there.
Right. Ok. 'Cause it's going to be tricky to line it potentially, here.
I: Why is that?
[45:43] I can understand why the different return statements and having the returns inside the for loop would make it difficult to have a cute little inline here, that's not really awesome. Uhm. I could be really cheeky and just drop visibility for this.","Invocation
Not Effective (“not supported”)Invocation
Predictable (“that makes sense to some degree.”)Invocation
Predictable (“I can understand why..make it difficult “)",,,,,,,0,,,,,,,,34
"<0,1,0,0,1>",ID14,"Trying to think what that's called. [15:47]
There's a hotkey I want to use and I want to remap it because it looks like I will use it a few times.
[16:41] I have successfully moved over one method.
I can actually just wholesale these over in the interest of time.
I: So now you are just copy-pasting?
Yes, it was too much clicking around. The static-non-static-thing I didn't like, it was an extra step I didn't need to do. I had to apply static, move it, and take away static, it was just .. too many dialogues and steps. If I can just remember to do step A and step B, like, ... but I can just take it right over, so it wasn't really worth the extra steps.","Invocation
Effective (“success”)
Invocation
Not Efficient (“it wasn't really worth the extra steps.”)",,,,,,1,0,,,,,,,ID14,36
"<0,1,1,0,1>",ID14,"I found those test methods and created a new class for them to go into, and I just resort to copy-paste them in, I did not take advantage of the refactoring tools.
I: You tried though?
I did try them, in a lot of cases they help. There is a small set of refactoring tools that I often like renaming variables and method signatures, classes, changing visibility. That's nice, in that you can make a change in one place, and it will find all the other references to that in other places and update them. It is tedious to do that by hand. Things break and whatnot.
Whereas, in this case, with tests they're not referenced anywhere - like you can just remove it and no one will know the difference - the only difference would be in imports, if they were only used by certain tests, but that's just a file level change. But multifile can take some digging around.
I: How does that impact your choice to use refactoring tools?
In this case the tools weren't adequate for what I wanted. So I'll just avoid that in the future.","Reflection
Effective (“it will find all the other references to that in other places and update them”) 
 Efficient (”tedious to do that by hand”)
Reflection
Not Satisfaction (“the tools weren't adequate for what I wanted”)",,,,,,,0,,,,,,,,37
"<0,1,0,0,0>",ID14,"I read the methods and the task, and I didn't get it then, but when I looked at them and saw the relationship between the two pairs of methods, and I could see the pattern, like there's two distinct chunks, and I can split this up and hedge my future errors. After I looked at them and saw the pattern in the implementation.
I: Do you know of any tools that could have automated the change?
Well, the refactoring tool, but it couldn't figure out what to do with the return method there.","Reflection
Not Effective (“it couldn't figure out what to do with the return method there.”)",,,,,,,0,,,,,,,,38
"<1,1,1,0,0>",ID14,"testWriteField, testWriteFieldForceAccess, which I just removed.
If true and ifField is accessible and .. what is this test doing, it's different from the other ones.
Oh, I think it inlined it. Which is kind of what I asked for. [1:22:45]
I: What did you expect it to do here?
I kind of expected it - which now that I think about it was an incorrect expectation - I expected it to put in a ... method that .. err.
That was a learning step.
I was confused, because it's not actually calling writeField. I was looking at the code there and to modifying it a moment ago.
We don't actually need this entire test because we're getting rid of this functionality. I can just destroy this test. That's kind of what I was thinking when I started this. There is the test for writeField and there is the test for writeFieldForceAccess, and if we get rid of the forceAccess method we can get rid of the test. So it kind of did the wrong thing here, but I'm getting rid of the test here so it doesn't matter. [1:24:11]","Invocation
Effective (“kind of what I asked for”)
Invocation
Predictable
Invocation
Not Satisfaction (“kind of did the wrong thing”)
",,,,,,,0,,,,,,,,39
"<1,1,0,0,0>",ID14,"My goal now would be to repeat on what we just did on the other methods. I usually go top down through the file, since it's easier to make sure I don't miss anything.
And I'm looking for the forceaccess versions. Oh wait, I was going to do the bottom ones first. forceAccess... [1:25:29]
Oh yeah.. I feel like this refactoring on the previous method did what I wanted it to do. I'm a bit more confident about it now, and I'm just going to double check the refactored method, if there's anything I need to fix like this. field != null is true, why is it always true, .. because getField guarantees it's not.. How do you know it's always null?","Invocation
Effective (“did what I wanted it to do”)
 Predictable (“just going to double check the refactored method”)
",,,,,,,0,,,,,,,,40
"<0,1,0,0,1>",ID14,"There's no loop here. I think we can refactor this functionality so we don't have .. that would just make my other inlining easier..
I: Can you explain what you mean? [1:29:21]
I tried to inline this one, and it gave me the - doesn't like - because of the return statement interrupting the execution flow, which because of the previous experience I have a better understanding of what that means. So like this return statement here, in, I guess the middle of the code, makes it more difficult to refactor, so I'm wondering if I can refactor it like I proposed earlier and see if that would allow me to inline this function. I don't need to do that this, in this case it would be faster to just go for it, but I'm thinking that if I learn this part of the tool, this I guess minor refactoring, that would help me more in the long term.
I: What would usually impact your decision to approach the intermediate refactoring, or do it by hand?
Time, is the short answer. If three refactorings takes longer than modifying two or three lines, then I'll just modify them.","Invocation
Effective (""in this case it would be faster to just go for it”)
Invocation
Efficient(""If three refactorings takes longer than modifying two or three lines, then I'll just modify them."")",,,,,,,0,,,,,,,,41
"<0,1,0,0,0>",ID15,"I don't know.. there is refactoring functionality in Eclipse that helps you do many things like when you change the name of a class it will change it in any of the classes across the project so if you change the name of a method or variable it will that but not the exact thing I was doing no. [49:22]
I: You used air quotes for your refactoring menu. Why was that?
It is not really ... it helps a lot so we don't have to through all the classes look at compiler issues and change the names but it's only for class names method names and variable names not for actual refactorings where you have to like move and change things. [49:46]","Reflection
Not Effective (“not for actual refactorings where you have to like move and change things”)",,,,,,,0,,,,,,,,42
"<0,1,0,0,0>",ID16,"Why is it used in method body.
So again, I didn't actually read the code, I assume this was delegating to another method. But we also have another method with the same signature as this method, so I can just delete this I think. No it's delegating to this, so I need to inline and then delete. [1:03:05]
This is one of those cases where you can't do it. I don't know why, but when that happens my impulse is to try a second time as if that is going to help.","Invocation
Not Effective (“This is one of those cases where you can't do it.”)
",,,,,,,0,,,,,,,,44
"<0,1,1,0,0>",ID16,"Usually. OCcasionally it gets confused and it doesn't work but mostly it's fine [1:35:57]
I: Have you used Move method?
Yes, but I don't find it so useful? I don't think it updates the callers. I think it's basically just a cut and paste. Maybe I'm just using it wrong but I find it doesn't really work for me. [1:36:28]","Reflection
Not Satisfaction (“I don't find it so useful”)
 Not Effective(“I don't think it updates the callers”)",,,,,,,0,,,,,,,,46
"<0,1,1,0,0>",ID18,"I thought move is going to give me the option to move it to a new class. That doesn't look like an option I can see.
Let's see if i can extract a superclass. [05:21]
Ah, and it looks like I can. I am not sure that is what I want to do, but let's try it anyway, because this won't be that expensive to undo. I am going to call this StringUtilsEmptyBlankTest. Here, great. Refactor. Yes. [05:51]
Great, it is not giving me anything. Ok, so I have created the class, so maybe this is going to help. Now maybe I can use move. Move ...","Invocation
Effective (“it looks like I can”)
Invocation
Not Satisfaction (“it is not giving me anything”)",,,,,,,0,,,,,,,,48
"<0,1,0,0,0>",ID19,"One thing that I do find interesting in this is how these seem very related - because it's trim empty test versus just empty - so there will be something about whether it actually make sense to abstract them out, or if it makes sense to move them all here and rename the class. But without digging into each and every one, we'll just stick with moving each of those tests.
I: So that's a design decision then?
Exactly. I want to do that. Does that actually work the way I want it to? Ah, yes.
 I: What happened now? 
 This isn't able to easily refactor it, because of course it's using a local - global - variable, so it cannot actually move the method without taking some information or exposing it across the two test classes.","Invocation
Not Effective (“This isn't able to easily refactor it”)",,,,,,,0,,,,,,,,50
,,,,,,,,,,0,,,,,,,,54
,,,,,,,,,,0,,,,,,,,55
,,,,,,,,,,0,,,,,,,,56
,,,,,,,,,,0,,,,,,,,57
,,,,,,,,,,0,,,,,,,,58
,,,,,,,,,,0,,,,,,,,59
,,,,,,,,,,0,,,,,,,,60
,,,,,,,,,,0,,,,,,,,61
,,,,,,,,,,0,,,,,,,,62
,,,,,,,,,,0,,,,,,,,63
,,,,,,,,,,0,,,,,,,,64
,,,,,,,,,,0,,,,,,,,65
,,,,,,,,,,,,,,,,,,66